Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,24,12,T:System.Management.ManagementBaseObject,,,,,"using ManagementBaseObject inParams = isoObject.GetMethodParameters(""Mount"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,24,12,M:System.Management.ManagementObject.GetMethodParameters(System.String),,,,,"using ManagementBaseObject inParams = isoObject.GetMethodParameters(""Mount"");"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,23,12,T:System.Management.ManagementObject,,,,,"using ManagementObject isoObject = new(WmiScope, isoObjectPath, null);"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\iso\IsoManager.cs,23,12,"M:System.Management.ManagementObject.#ctor(System.String,System.String,System.Management.ObjectGetOptions)",,,,,"using ManagementObject isoObject = new(WmiScope, isoObjectPath, null);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,121,16,"M:System.Windows.Forms.ToolTip.SetToolTip(System.Windows.Forms.Control,System.String)",,,,,"displayedToolTip.SetToolTip(ctrl, tooltipMessage);"
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,120,16,T:System.Windows.Forms.ToolTip,,,,,ToolTip displayedToolTip = new();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,120,16,M:System.Windows.Forms.ToolTip.#ctor,,,,,ToolTip displayedToolTip = new();
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,95,16,M:System.Drawing.Graphics.Dispose,,,,,g.Dispose();
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,91,16,P:System.Drawing.Graphics.DpiX,,,,,dx = g.DpiX;
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,87,12,T:System.Drawing.Graphics,,,,,Graphics g = control.CreateGraphics();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,87,12,M:System.Windows.Forms.Control.CreateGraphics,,,,,Graphics g = control.CreateGraphics();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,86,12,T:System.Windows.Forms.Control,,,,,Control control = new();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,86,12,M:System.Windows.Forms.Control.#ctor,,,,,Control control = new();
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,77,12,P:System.Environment.OSVersion,,,,,Version version = Environment.OSVersion.Version;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,58,8,T:System.Windows.Forms.Control,,,,,public static IntPtr? GetWindowHandleFromControl(Control ctrl)
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\functions\Helpers\DesktopWindowManager\WindowHelper.cs,60,12,P:System.Windows.Forms.Control.Handle,,,,,return ctrl?.Handle;
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,12,12,T:System.Windows.Forms.Application,,,,,Application.Run(new MainForm());
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,12,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new MainForm());
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,11,12,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,11,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,10,12,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\Program.cs,10,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1148,47,T:System.Windows.Forms.LinkLabel,,,,,lnkUseDT
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1147,47,T:System.Windows.Forms.LinkLabel,,,,,lnkUseNtLite
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1146,43,T:System.Windows.Forms.Panel,,,,,panel4
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1145,47,T:System.Windows.Forms.LinkLabel,,,,,lnkOpenIsoLoc
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1144,47,T:System.Windows.Forms.LinkLabel,,,,,lnkViewCreationLogs
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1143,44,T:System.Windows.Forms.Label,,,,,label18
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1142,44,T:System.Windows.Forms.Label,,,,,label17
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1141,44,T:System.Windows.Forms.Label,,,,,label16
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1140,43,T:System.Windows.Forms.Panel,,,,,FinishPage
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1139,52,T:System.Windows.Forms.SaveFileDialog,,,,,isoSaverSFD
